footprint
39
43
47
55
58
55
56
46
32
55
39
49
38
21
38
33
331
34
49
67
53
36
58
42
59
52
58
42
53
38
39
74
40
62
72
30
28
21
57
48
21
32
47
45
27
29
83
40
35
54
68
56
32
58
22
26
80
50
48
49
19
26
55
27
27
58
25
21
42
22
33
24
22
28
45
46
48
59
60
68
71
52
42
23
26
19
25
37
37
27
41
61
60
56
55
29
34
58
52
35
58
58
44
57
42
49
56
50
53
42
63
47
22
23
38
48
45
33
70
60
100
43
26
36
42
23
32
36
48
24
68
54
22
67
46
36
60
63
49
35
37
48
45
31
33
25
48
47
26
58
29
47
58
49
45
58
56
60
61
56
65
53
55
60
54
43
47
57
52
58
